Temperatura de Melting (Cº),Conteúdo GC (%)
82.571,48.83
85.486,51.32
81.992,46.36
86.524,53.60
82.884,47.66
86.532,53.85
86.757,54.81
86.767,55.99
85.424,52.38
81.942,47.92
83.272,46.61
84.437,51.93
82.034,42.32
82.193,44.89
85.350,51.12
87.263,55.89
85.248,50.59
86.975,54.23
86.297,53.20
86.458,54.35
86.343,53.24
87.320,55.61
86.200,52.84
87.042,54.68
79.639,36.79
85.950,53.44
86.637,54.15
85.538,51.42
83.714,49.55
86.536,53.44
85.603,51.75
81.233,44.86
81.737,45.39
82.785,47.13
84.997,50.40
83.183,46.85
84.653,50.89
87.435,56.07
85.078,51.80
85.674,53.57
86.817,54.70
85.623,52.91
77.910,32.51
86.380,53.64
86.639,53.68
86.621,54.33
85.620,55.56
85.805,51.83
87.364,56.85
85.256,50.99
84.300,49.80
86.280,53.04
86.288,53.54
83.761,49.70
86.020,53.50
86.281,52.76
85.219,50.84
86.700,54.00
85.068,51.30
83.227,48.57
85.441,51.04
84.730,50.32
85.699,51.69
86.084,52.19
83.343,49.45
85.943,51.98
85.930,54.57
82.451,45.86
85.330,51.58
86.396,53.15
85.215,51.04
85.159,52.07
86.725,53.92
87.581,56.00
84.348,51.03
87.226,55.40
85.795,52.38
86.280,54.28
86.557,56.73
83.872,49.72
84.219,47.90
82.902,46.50
83.751,48.19
79.279,40.64
80.076,40.27
86.790,53.78
86.629,54.02
82.540,44.91
86.025,51.89
81.748,48.48
87.870,58.33
85.053,52.38
86.054,53.80
88.240,57.56
84.630,51.82
87.552,57.26
86.259,52.75
84.952,50.64
86.477,53.89
85.605,51.77
85.818,51.95
87.241,55.22
85.948,52.33
85.432,50.82
84.956,51.46
86.189,53.46
81.342,43.18
88.564,58.20
86.380,53.70
86.583,53.83
85.666,51.55
88.885,58.78
89.937,61.14
88.097,57.14
87.764,56.80
86.787,56.37
81.649,43.74
84.324,48.57
81.594,44.08
87.571,57.95
85.972,52.72
82.788,45.43
83.182,46.15
87.285,56.02
86.706,54.69
86.008,53.54
87.507,56.91
88.410,57.85
89.867,61.19
74.452,27.97
84.056,50.00
87.021,55.07
85.679,52.00
84.662,50.72
86.043,53.06
86.592,53.59
82.672,44.92
85.088,50.63
84.069,47.63
85.583,51.38
87.575,56.37
83.251,46.31
85.758,51.86
86.017,52.67
87.534,55.94
87.964,57.22
87.500,56.62
87.684,56.94
87.811,57.02
87.475,57.45
86.041,53.25
83.520,47.88
86.962,54.69
85.699,53.07
85.459,55.87
86.691,54.56
82.252,44.57
81.454,42.14
84.266,47.70
82.911,45.14
84.272,49.61
79.137,36.65
83.183,46.19
85.782,52.30
87.307,55.06
86.166,52.41
81.444,41.42
86.361,53.26
75.532,28.92
88.564,57.97
86.093,54.33
87.961,56.89
86.201,52.80
86.647,54.82
85.617,51.41
81.990,45.35
87.403,55.88
87.423,55.32
86.273,53.01
84.047,47.68
85.074,51.07
83.101,47.70
83.474,50.20
85.924,52.37
81.730,49.02
81.194,47.71
84.012,48.25
86.814,53.99
86.740,54.28
85.083,54.79
87.827,56.23
82.754,44.62
86.496,54.17
87.931,57.40
89.329,60.80
88.360,58.19
87.084,55.38
87.555,56.29
87.444,55.74
86.968,55.24
87.887,57.70
87.559,58.21
87.947,56.79
83.703,52.02
87.219,55.56
86.682,54.18
83.370,46.98
84.033,47.67
80.192,38.65
83.551,47.12
84.513,50.00
86.114,52.51
83.900,49.18
85.145,50.36
86.029,54.50
85.466,51.67
85.339,50.68
86.860,54.95
87.837,58.15
87.494,55.90
87.804,57.21
85.994,55.56
85.334,50.99
85.086,49.97
84.937,50.66
85.424,50.94
83.084,46.52
80.481,43.81
83.884,49.48
86.455,54.12
82.949,50.00
86.410,53.73
82.684,44.65
83.599,47.51
81.953,46.21
84.818,49.59
87.972,57.39
85.743,51.93
86.258,52.73
87.836,58.55
84.086,50.63
84.717,50.33
84.430,49.53
85.869,52.33
85.175,51.55
86.484,53.12
85.426,52.59
82.783,45.34
83.901,47.20
81.507,42.70
83.825,47.88
85.162,50.15
85.216,50.85
85.163,51.10
84.993,50.81
85.749,52.50
84.331,48.73
87.380,55.62
85.508,51.65
85.120,51.92
86.607,54.07
86.704,54.04
87.555,56.29
